"","ï..FID","source","survey_cod","siteid","s_east","s_north","m_code","hull_sampl","hull_secti","s_date","taxon_name","phylum","class","F_order","family","genus","species","authority","aphia_id","Name","Year_","establishe","biosecurit","GlobalID","x","y"
"1",55607,"Marine High Risk Site Surveillance","SVNSN10","SVNSN10063",1621595,5432122,"BSLD","no"," ","November 12, 2009","Undaria pinnatifida","Ochrophyta","Phaeophyceae","Laminariales","Alariaceae","Undaria","pinnatifida","(Harvey) Suringar, 1873",145721,"Nelson",2009,"yes","Non-indigenous","9e109bfd-4c2f-4738-af0e-0aba3aff73ef",1621595,5432122
"2",55638,"Marine High Risk Site Surveillance","SVNSN10","SVNSN10084",1621596,5431245,"BSLD","no"," ","November 12, 2009","Undaria pinnatifida","Ochrophyta","Phaeophyceae","Laminariales","Alariaceae","Undaria","pinnatifida","(Harvey) Suringar, 1873",145721,"Nelson",2009,"yes","Non-indigenous","c6b637a8-88ab-42af-bfb7-8df527a78ee2",1621596,5431245
"3",55642,"Marine High Risk Site Surveillance","SVNSN10","SVNSN10085",1621470,5431118,"BSLD","no"," ","November 12, 2009","Undaria pinnatifida","Ochrophyta","Phaeophyceae","Laminariales","Alariaceae","Undaria","pinnatifida","(Harvey) Suringar, 1873",145721,"Nelson",2009,"yes","Non-indigenous","03b2415b-b896-4890-b547-960127001c32",1621470,5431118
"4",55644,"Marine High Risk Site Surveillance","SVNSN10","SVNSN10087",1621579,5431025,"BSLD","no"," ","November 12, 2009","Undaria pinnatifida","Ochrophyta","Phaeophyceae","Laminariales","Alariaceae","Undaria","pinnatifida","(Harvey) Suringar, 1873",145721,"Nelson",2009,"yes","Non-indigenous","d530faf7-782e-4577-b614-e92226905729",1621579,5431025
"5",55793,"Marine High Risk Site Surveillance","SVNSN10","SVNSN10204a",1621473,5431971,"VISD","no"," ","November 11, 2009","Undaria pinnatifida","Ochrophyta","Phaeophyceae","Laminariales","Alariaceae","Undaria","pinnatifida","(Harvey) Suringar, 1873",145721,"Nelson",2009,"yes","Non-indigenous","bc62dd5a-569a-426a-8189-b078d8db1e05",1621473,5431971
"6",55794,"Marine High Risk Site Surveillance","SVNSN10","SVNSN10205a",1623653,5432647,"VISD","no"," ","November 9, 2009","Undaria pinnatifida","Ochrophyta","Phaeophyceae","Laminariales","Alariaceae","Undaria","pinnatifida","(Harvey) Suringar, 1873",145721,"Nelson",2009,"yes","Non-indigenous","aac37dc3-2184-4f8a-adf9-02759d4b1562",1623653,5432647
"7",55795,"Marine High Risk Site Surveillance","SVNSN10","SVNSN10205b",1623653,5432647,"VISD","no"," ","November 9, 2009","Undaria pinnatifida","Ochrophyta","Phaeophyceae","Laminariales","Alariaceae","Undaria","pinnatifida","(Harvey) Suringar, 1873",145721,"Nelson",2009,"yes","Non-indigenous","3a95820c-19dc-49b2-a639-e514748447a8",1623653,5432647
"8",55797,"Marine High Risk Site Surveillance","SVNSN10","SVNSN10206a",1623522,5432651,"VISD","no"," ","November 9, 2009","Undaria pinnatifida","Ochrophyta","Phaeophyceae","Laminariales","Alariaceae","Undaria","pinnatifida","(Harvey) Suringar, 1873",145721,"Nelson",2009,"yes","Non-indigenous","ef9a64c3-d257-4233-a08c-8394442fc380",1623522,5432651
"9",55798,"Marine High Risk Site Surveillance","SVNSN10","SVNSN10206b",1623522,5432651,"VISD","no"," ","November 9, 2009","Undaria pinnatifida","Ochrophyta","Phaeophyceae","Laminariales","Alariaceae","Undaria","pinnatifida","(Harvey) Suringar, 1873",145721,"Nelson",2009,"yes","Non-indigenous","a090a6d4-5383-4b8c-b0d4-695e284cdfaa",1623522,5432651
"10",55799,"Marine High Risk Site Surveillance","SVNSN10","SVNSN10208b",1623357,5432552,"VISD","no"," ","November 10, 2009","Undaria pinnatifida","Ochrophyta","Phaeophyceae","Laminariales","Alariaceae","Undaria","pinnatifida","(Harvey) Suringar, 1873",145721,"Nelson",2009,"yes","Non-indigenous","4e4b05b7-73d6-4f1f-8b22-864fa903db2b",1623357,5432552
"11",55801,"Marine High Risk Site Surveillance","SVNSN10","SVNSN10209a",1623304,5432511,"VISD","no"," ","November 10, 2009","Undaria pinnatifida","Ochrophyta","Phaeophyceae","Laminariales","Alariaceae","Undaria","pinnatifida","(Harvey) Suringar, 1873",145721,"Nelson",2009,"yes","Non-indigenous","63d34cb4-a2b1-4ea0-82a0-ebbe7a6013f5",1623304,5432511
"12",55803,"Marine High Risk Site Surveillance","SVNSN10","SVNSN10209b",1623304,5432511,"VISD","no"," ","November 10, 2009","Undaria pinnatifida","Ochrophyta","Phaeophyceae","Laminariales","Alariaceae","Undaria","pinnatifida","(Harvey) Suringar, 1873",145721,"Nelson",2009,"yes","Non-indigenous","d7949dea-2072-4eae-82b7-bacdef59e73b",1623304,5432511
"13",55805,"Marine High Risk Site Surveillance","SVNSN10","SVNSN10210a",1623664,5432462,"VISD","no"," ","November 9, 2009","Undaria pinnatifida","Ochrophyta","Phaeophyceae","Laminariales","Alariaceae","Undaria","pinnatifida","(Harvey) Suringar, 1873",145721,"Nelson",2009,"yes","Non-indigenous","c97a7bb9-bb35-4116-95f0-69c0e907f6c1",1623664,5432462
"14",55806,"Marine High Risk Site Surveillance","SVNSN10","SVNSN10210b",1623664,5432462,"VISD","no"," ","November 9, 2009","Undaria pinnatifida","Ochrophyta","Phaeophyceae","Laminariales","Alariaceae","Undaria","pinnatifida","(Harvey) Suringar, 1873",145721,"Nelson",2009,"yes","Non-indigenous","81775dfa-fedf-42bf-aa5c-d62e38c153cb",1623664,5432462
"15",55807,"Marine High Risk Site Surveillance","SVNSN10","SVNSN10211a",1623281,5432450,"VISD","no"," ","November 10, 2009","Undaria pinnatifida","Ochrophyta","Phaeophyceae","Laminariales","Alariaceae","Undaria","pinnatifida","(Harvey) Suringar, 1873",145721,"Nelson",2009,"yes","Non-indigenous","74d24335-ba45-4ada-a832-bda09631c483",1623281,5432450
"16",55808,"Marine High Risk Site Surveillance","SVNSN10","SVNSN10211b",1623281,5432450,"VISD","no"," ","November 10, 2009","Undaria pinnatifida","Ochrophyta","Phaeophyceae","Laminariales","Alariaceae","Undaria","pinnatifida","(Harvey) Suringar, 1873",145721,"Nelson",2009,"yes","Non-indigenous","33c06365-94d7-4735-bfc5-b32f462dc85f",1623281,5432450
"17",55809,"Marine High Risk Site Surveillance","SVNSN10","SVNSN10212a",1623334,5432436,"VISD","no"," ","November 10, 2009","Undaria pinnatifida","Ochrophyta","Phaeophyceae","Laminariales","Alariaceae","Undaria","pinnatifida","(Harvey) Suringar, 1873",145721,"Nelson",2009,"yes","Non-indigenous","eafc939f-fcba-44df-a244-1aa0fbd4448d",1623334,5432436
"18",55810,"Marine High Risk Site Surveillance","SVNSN10","SVNSN10212b",1623334,5432436,"VISD","no"," ","November 10, 2009","Undaria pinnatifida","Ochrophyta","Phaeophyceae","Laminariales","Alariaceae","Undaria","pinnatifida","(Harvey) Suringar, 1873",145721,"Nelson",2009,"yes","Non-indigenous","13fe3d49-4b63-4c1c-9b15-78985f68e7be",1623334,5432436
"19",55812,"Marine High Risk Site Surveillance","SVNSN10","SVNSN10213a",1623511,5432370,"VISD","no"," ","November 10, 2009","Undaria pinnatifida","Ochrophyta","Phaeophyceae","Laminariales","Alariaceae","Undaria","pinnatifida","(Harvey) Suringar, 1873",145721,"Nelson",2009,"yes","Non-indigenous","f0ce165d-c3bf-4c17-b37b-c232289f89d7",1623511,5432370
"20",55813,"Marine High Risk Site Surveillance","SVNSN10","SVNSN10213b",1623511,5432370,"VISD","no"," ","November 10, 2009","Undaria pinnatifida","Ochrophyta","Phaeophyceae","Laminariales","Alariaceae","Undaria","pinnatifida","(Harvey) Suringar, 1873",145721,"Nelson",2009,"yes","Non-indigenous","bd35efa6-9e71-4915-b059-d6f38a6b112e",1623511,5432370
"21",55814,"Marine High Risk Site Surveillance","SVNSN10","SVNSN10214b",1623661,5432366,"VISD","no"," ","November 9, 2009","Undaria pinnatifida","Ochrophyta","Phaeophyceae","Laminariales","Alariaceae","Undaria","pinnatifida","(Harvey) Suringar, 1873",145721,"Nelson",2009,"yes","Non-indigenous","65dc7115-6315-47c6-be87-47c3aa60bad7",1623661,5432366
"22",55817,"Marine High Risk Site Surveillance","SVNSN10","SVNSN10216a",1622930,5432320,"VISD","no"," ","November 10, 2009","Undaria pinnatifida","Ochrophyta","Phaeophyceae","Laminariales","Alariaceae","Undaria","pinnatifida","(Harvey) Suringar, 1873",145721,"Nelson",2009,"yes","Non-indigenous","b09ed630-de39-45e9-8a63-be9f7a43fdf4",1622930,5432320
"23",55819,"Marine High Risk Site Surveillance","SVNSN10","SVNSN10216b",1622930,5432320,"VISD","no"," ","November 10, 2009","Undaria pinnatifida","Ochrophyta","Phaeophyceae","Laminariales","Alariaceae","Undaria","pinnatifida","(Harvey) Suringar, 1873",145721,"Nelson",2009,"yes","Non-indigenous","cadaca14-f10d-4d81-8660-ac7f214dcbdd",1622930,5432320
